rule_id,section_code,section,variable,data_variables,check_type,condition_questionnaire,condition_stata,condition_status,rule_expression_stata,source_regle,scope_stata,scope_source,scope_status,decision_status,action,script
Q_COVER_cover_id_PII,COVER,Couverture,cover_id,cover_id,confidentialite,,,PII_EXCLUDED,,questionnaire,$audit_scope,hypothese_apurement,a_valider,restriction_confidentialite,ne_pas_exporter,04_01_COVER_Couverture.do
Q_COVER_cover_district_MISSING,COVER,Couverture,cover_district,cover_district,manquant_univers,,1,translated,"((missing(cover_district) | trim(cover_district) == """")) & (1) & ($audit_scope)",questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_01_COVER_Couverture.do
Q_COVER_cover_region_MISSING,COVER,Couverture,cover_region,cover_region,manquant_univers,,1,translated,"((missing(cover_region) | trim(cover_region) == """")) & (1) & ($audit_scope)",questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_01_COVER_Couverture.do
Q_COVER_localite_MISSING,COVER,Couverture,localite,localite,manquant_univers,,1,translated,"((missing(localite) | trim(localite) == """")) & (1) & ($audit_scope)",questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_01_COVER_Couverture.do
Q_COVER_nom_PII,COVER,Couverture,nom,nom,confidentialite,,,PII_EXCLUDED,,questionnaire,$audit_scope,hypothese_apurement,a_valider,restriction_confidentialite,ne_pas_exporter,04_01_COVER_Couverture.do
Q_COVER_telephone_PII,COVER,Couverture,telephone,telephone,confidentialite,,,PII_EXCLUDED,,questionnaire,$audit_scope,hypothese_apurement,a_valider,restriction_confidentialite,ne_pas_exporter,04_01_COVER_Couverture.do
Q_A_nom_sup_MISSING,A,A.GESTION DES TENTATIVES D’APPEL,nom_sup,nom_sup,manquant_univers,,1,translated,(missing(nom_sup)) & (1) & ($audit_scope),questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_02_A_A_GESTION_DES_TENTATIVES_DAPPEL.do
Q_A_nom_sup_DOMAIN,A,A.GESTION DES TENTATIVES D’APPEL,nom_sup,nom_sup,domaine,,1,translated,"!((inlist(nom_sup, 1, 2))) & (!missing(nom_sup)) & ($audit_scope)",questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_02_A_A_GESTION_DES_TENTATIVES_DAPPEL.do
Q_A_nom_agent_MISSING,A,A.GESTION DES TENTATIVES D’APPEL,nom_agent,nom_agent,manquant_univers,,1,translated,(missing(nom_agent)) & (1) & ($audit_scope),questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_02_A_A_GESTION_DES_TENTATIVES_DAPPEL.do
Q_A_nom_agent_CASCADE_HIERARCHY_REVIEW,A,A.GESTION DES TENTATIVES D’APPEL,nom_agent,nom_agent,coherence_hierarchie_cascade,,1,A_VALIDER,,questionnaire,$audit_scope,hypothese_apurement,a_valider,a_valider,verifier_domaine_et_hierarchie_cascade,04_02_A_A_GESTION_DES_TENTATIVES_DAPPEL.do
Q_A_HHA_debut_MISSING,A,A.GESTION DES TENTATIVES D’APPEL,HHA_debut,HHA_debut,manquant_univers,,1,translated,"((missing(HHA_debut) | trim(HHA_debut) == """")) & (1) & ($audit_scope)",questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_02_A_A_GESTION_DES_TENTATIVES_DAPPEL.do
Q_A_A1_MISSING,A,A.GESTION DES TENTATIVES D’APPEL,A1,A1,manquant_univers,(HHA_debut!=null),(!missing(HHA_debut)),translated,(missing(A1)) & ((!missing(HHA_debut))) & ($audit_scope),questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_02_A_A_GESTION_DES_TENTATIVES_DAPPEL.do
Q_A_A1_SKIP,A,A.GESTION DES TENTATIVES D’APPEL,A1,A1,saut_univers,(HHA_debut!=null),(!missing(HHA_debut)),translated,(!missing(A1)) & !((!missing(HHA_debut))) & ($audit_scope),questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_02_A_A_GESTION_DES_TENTATIVES_DAPPEL.do
Q_A_A1_DOMAIN,A,A.GESTION DES TENTATIVES D’APPEL,A1,A1,domaine,(HHA_debut!=null),(!missing(HHA_debut)),translated,"!((inlist(A1, 1, 2, 3))) & (!missing(A1)) & ($audit_scope)",questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_02_A_A_GESTION_DES_TENTATIVES_DAPPEL.do
Q_A_A2_date_MISSING,A,A.GESTION DES TENTATIVES D’APPEL,A2_date,A2_date,manquant_univers,(HHA_debut!=null),(!missing(HHA_debut)),translated,"((missing(A2_date) | trim(A2_date) == """")) & ((!missing(HHA_debut))) & ($audit_scope)",questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_02_A_A_GESTION_DES_TENTATIVES_DAPPEL.do
Q_A_A2_date_SKIP,A,A.GESTION DES TENTATIVES D’APPEL,A2_date,A2_date,saut_univers,(HHA_debut!=null),(!missing(HHA_debut)),translated,"((!missing(A2_date) & trim(A2_date) != """")) & !((!missing(HHA_debut))) & ($audit_scope)",questionnaire,$audit_scope,hypothese_apurement,a_valider,documente_questionnaire,export_excel_diagnostic,04_02_A_A_GESTION_DES_TENTATIVES_DAPPEL.do
