"rule_id","section_code","check_type","variable","source_regle","scope_source","decision_status","action","anomaly_count","report_path","access_level","evaluation_status","evaluation_message","correction_applied"
"COH_Q2_NUMERIC","Q","codification","Q2","donnee_observee/metier_propose","hypothese_apurement","a_valider","codification_manuelle",48,"document/50_metier_propose/coh_q2_numeric.xlsx","interne","OK","",FALSE
"DEM_AGE_DOMAIN","C","domaine","age","metier_propose","hypothese_apurement","a_valider","export_excel_diagnostic",0,"","interne","OK","",FALSE
"DEM_AGE_TARGET","C","ciblage","age","PAD/metier_propose","hypothese_apurement","a_valider","revoir_ciblage",111,"document/50_metier_propose/dem_age_target.xlsx","interne","OK","",FALSE
"EMP_H4A_LARGE","H","plausibilite","H4A","metier_propose","hypothese_apurement","a_valider","export_excel_diagnostic",3,"document/50_metier_propose/emp_h4a_large.xlsx","interne","OK","",FALSE
"EMP_HOURS_OVER_84","G","plausibilite","G3","metier_propose","hypothese_apurement","a_valider","export_excel_diagnostic",17,"document/50_metier_propose/emp_hours_over_84.xlsx","interne","OK","",FALSE
"INCOME_H5_LARGE","H","plausibilite","H5","metier_propose","hypothese_apurement","a_valider","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A1_DOMAIN","A","domaine","A1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A1_MISSING","A","manquant_univers","A1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",2,"document/02_A/Q_A_A1_MISSING.xlsx","interne","OK","",FALSE
"Q_A_A1_SKIP","A","saut_univers","A1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A2_date_MISSING","A","manquant_univers","A2_date","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",2,"document/02_A/Q_A_A2_date_MISSING.xlsx","interne","OK","",FALSE
"Q_A_A2_date_SKIP","A","saut_univers","A2_date","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A2_heure_MISSING","A","manquant_univers","A2_heure","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",2,"document/02_A/Q_A_A2_heure_MISSING.xlsx","interne","OK","",FALSE
"Q_A_A2_heure_SKIP","A","saut_univers","A2_heure","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A4_DOMAIN","A","domaine","A4","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A4_MISSING","A","manquant_univers","A4","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",6,"document/02_A/Q_A_A4_MISSING.xlsx","interne","OK","",FALSE
"Q_A_A4_SKIP","A","saut_univers","A4","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A4X_MISSING","A","manquant_univers","A4X","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A4X_SKIP","A","saut_univers","A4X","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A5_date_MISSING","A","manquant_univers","A5_date","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A5_date_SKIP","A","saut_univers","A5_date","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A5_heure_MISSING","A","manquant_univers","A5_heure","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_A5_heure_SKIP","A","saut_univers","A5_heure","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_HHA_debut_MISSING","A","manquant_univers","HHA_debut","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_HHA_fin_MISSING","A","manquant_univers","HHA_fin","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",2,"document/02_A/Q_A_HHA_fin_MISSING.xlsx","interne","OK","",FALSE
"Q_A_HHA_fin_SKIP","A","saut_univers","HHA_fin","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_nom_agent_CASCADE_HIERARCHY_REVIEW","A","coherence_hierarchie_cascade","nom_agent","questionnaire","hypothese_apurement","a_valider","verifier_domaine_et_hierarchie_cascade",0,"","interne","NON_EXECUTEE","A_VALIDER",FALSE
"Q_A_nom_agent_MISSING","A","manquant_univers","nom_agent","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",18,"document/02_A/Q_A_nom_agent_MISSING.xlsx","interne","OK","",FALSE
"Q_A_nom_sup_DOMAIN","A","domaine","nom_sup","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_A_nom_sup_MISSING","A","manquant_univers","nom_sup","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",2,"document/02_A/Q_A_nom_sup_MISSING.xlsx","interne","OK","",FALSE
"Q_B_B1_DOMAIN","B","domaine","B1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B1_MISSING","B","manquant_univers","B1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",36,"document/03_B/Q_B_B1_MISSING.xlsx","interne","OK","",FALSE
"Q_B_B2_CASCADE_HIERARCHY_REVIEW","B","coherence_hierarchie_cascade","B2","questionnaire","hypothese_apurement","a_valider","verifier_domaine_et_hierarchie_cascade",0,"","interne","NON_EXECUTEE","A_VALIDER",FALSE
"Q_B_B2_MISSING","B","manquant_univers","B2","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",36,"document/03_B/Q_B_B2_MISSING.xlsx","interne","OK","",FALSE
"Q_B_B3_CASCADE_HIERARCHY_REVIEW","B","coherence_hierarchie_cascade","B3","questionnaire","hypothese_apurement","a_valider","verifier_domaine_et_hierarchie_cascade",0,"","interne","NON_EXECUTEE","A_VALIDER",FALSE
"Q_B_B3_MISSING","B","manquant_univers","B3","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",41,"document/03_B/Q_B_B3_MISSING.xlsx","interne","OK","",FALSE
"Q_B_B4_CASCADE_HIERARCHY_REVIEW","B","coherence_hierarchie_cascade","B4","questionnaire","hypothese_apurement","a_valider","verifier_domaine_et_hierarchie_cascade",0,"","interne","NON_EXECUTEE","A_VALIDER",FALSE
"Q_B_B4_MISSING","B","manquant_univers","B4","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",42,"document/03_B/Q_B_B4_MISSING.xlsx","interne","OK","",FALSE
"Q_B_B5_DOMAIN","B","domaine","B5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B5_MISSING","B","manquant_univers","B5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",40,"document/03_B/Q_B_B5_MISSING.xlsx","interne","OK","",FALSE
"Q_B_B6_DOMAIN","B","domaine","B6","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6_MISSING","B","manquant_univers","B6","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",41,"document/03_B/Q_B_B6_MISSING.xlsx","interne","OK","",FALSE
"Q_B_B6A_DOMAIN","B","domaine","B6A","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6A_MISSING","B","manquant_univers","B6A","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6A_SKIP","B","saut_univers","B6A","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6B_DOMAIN","B","domaine","B6B","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6B_MISSING","B","manquant_univers","B6B","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6B_SKIP","B","saut_univers","B6B","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6C_MISSING","B","manquant_univers","B6C","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6C_SKIP","B","saut_univers","B6C","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6D_DOMAIN","B","domaine","B6D","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6D_MISSING","B","manquant_univers","B6D","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6D_SKIP","B","saut_univers","B6D","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6E_DOMAIN","B","domaine","B6E","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6E_MISSING","B","manquant_univers","B6E","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",1,"document/03_B/Q_B_B6E_MISSING.xlsx","interne","OK","",FALSE
"Q_B_B6E_SKIP","B","saut_univers","B6E","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B6F_MISSING","B","manquant_univers","B6F","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
