section_order,section_code,section,n_questionnaire_objects
1,COVER,Couverture,6
2,A,A.GESTION DES TENTATIVES D’APPEL,11
3,B,B. IDENTIFICATION ET CONSENTEMENT,16
4,C,C. PROFIL SOCIODEMOGRAPHIQUE,17
5,D,D. MENAGE,8
6,E,E. STATUT D'ACTIVITE,7
7,F,F. EMPLOI PRINCIPAL,9
8,G,G. QUALITE DE L'EMPLOI,12
9,H,H. REVENU ET CARACTERISTIQUES DE L'ENTREPRISE,10
10,I,I. RECHERCHE D’UN AUTRE EMPLOI,7
11,J,J. CHOMAGE – DUREE ET RECHERCHE D’EMPLOI,9
12,K,K. ENTREPRENEURIAT,12
13,L,L. INCLUSION FINANCIERE & EPARGNE,13
14,M,M. CHANGEMENT DE STATUT,6
15,N,N. RESILIENCE FACE AUX CHOCS,11
16,O,O. EXPERIENCE PROFESSIONNELLE ET FORMATIONS,8
17,P,P. ASPIRATIONS PROFESSIONNELLES,8
18,Q,Q.COHESION SOCIALE ET ENGAGEMENT,12
19,R,R. SUIVI PANEL,13
